title,date_enacted,jurisdiction,jurisdiction_name,general_reference,data_category,individual_rights,handler_responsibilities,sector,keywords,solove_classification,synopsis,pipl_mention,file_path,top_level_category,folder
Draft Law on Personal Information Protection of the People's Republic of China,26.04.2021,national,People's Republic of China,FALSE,general,[],[],[],[],[],,TRUE,1_laws/第十三届全国人民代表大会常务委员会第二十八...(FBM-CLI.1.5054847).txt,1_laws,data protection
Report on Handling Proposals Submitted by Representatives at the First Session of the Eleventh National People's Congress,14.03.2008,national,People's Republic of China,TRUE,general,[],[],[],[],[],,FALSE,1_laws/十一届全国人大一次会议秘书处关于第十一届全...(FBM-CLI.1.113374).txt,1_laws,data protection
Report on the Review Results of the Proposals Submitted by Representatives to the Third Session of the 13th National People's Congress,22.01.2021,national,People's Republic of China,FALSE,general,[],[],[],[],[],,FALSE,1_laws/全国人民代表大会宪法和法律委员会关于第十三...(FBM-CLI.1.5054651).txt,1_laws,data protection
Report on the Handling of Proposals by Representatives of the First Session of the 13th National People's Congress,16.03.2018,national,People's Republic of China,FALSE,general,[],[],[],[],[],,FALSE,1_laws/第十三届全国人民代表大会第一次会议秘书处关...(FBM-CLI.1.311595).txt,1_laws,data protection
Decision of the Fifth Session of the Thirteenth National People's Congress on the Execution of the National Economic and Social Development Plan for 2021 and the Draft National Economic and Social Development Plan for 2022,11.03.2022,national,People's Republic of China,TRUE,general,[],[],[],[],[],Economic and social development plan for 2022.,FALSE,1_laws/第十三届全国人民代表大会第五次会议关于2021年...(FBM-CLI.1.5114781).txt,1_laws,data protection
The 13th Five-Year Plan for Economic and Social Development of the People's Republic of China,16.03.2016,national,People's Republic of China,FALSE,general,[],[],[],[],[],,FALSE,1_laws/中华人民共和国国民经济和社会发展第十三个五...(FBM-CLI.1.266682).txt,1_laws,data protection
Report on the Handling of Proposals Submitted by Representatives to the Fifth Session of the Eleventh National People's Congress,13.03.2012,national,People's Republic of China,FALSE,general,[],[],[],[],[],,FALSE,1_laws/十一届全国人大五次会议秘书处关于第十一届全...(FBM-CLI.1.175135).txt,1_laws,data protection
Emergency Response Law of the People's Republic of China (2024 Revision),28.06.2024,national,People's Republic of China,FALSE,general,[],"['Security & Management', 'Incident Response & Notification', 'Compliance Audits']","['Public Administration, Social Security & Social Organizations', 'Health & Social Work']",[],"['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates emergency response and public safety measures.,FALSE,1_laws/中华人民共和国突发事件应对法(2024修订)(FBM-CLI.1.5195915).txt,1_laws,data protection
Report of the Finance and Economy Committee of the National People's Congress on the Results of the Consideration of the Motions Proposed by the Delegates Referred for Consideration by the Bureau of the Fifth Session of the Thirteenth National People's Congress,27.10.2022,national,People's Republic of China,FALSE,general,[],[],[],[],[],,FALSE,1_laws/全国人民代表大会财政经济委员会关于第十三届...(FBM-CLI.1.5137889).txt,1_laws,data protection
Report of the Finance and Economy Committee of the National People's Congress on the Results of the Consideration of the Motions Proposed by the Delegates Referred for Consideration by the Bureau of the Fifth Session of the Eleventh National People's Congress,26.10.2012,national,People's Republic of China,TRUE,general,[],[],[],[],[],,FALSE,1_laws/全国人民代表大会财政经济委员会关于第十一届...(FBM-CLI.1.187201).txt,1_laws,data protection
Cybersecurity Law of the People's Republic of China,07.11.2016,national,People's Republic of China,FALSE,general,"['Access & Copy', 'Rectification', 'Erasure']","['Security & Management', 'Protection Officer', 'Incident Response & Notification']","['Information Transmission, Software & IT Services', 'Public Administration, Social Security & Social Organizations']","['Parental Consent for Minors', 'Cross-Border Transfer']","['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates cybersecurity and personal data protection.,FALSE,1_laws/中华人民共和国网络安全法(FBM-CLI.1.283838).txt,1_laws,data protection
Report on the Handling of Proposals by Representatives at the Second Session of the 13th National People's Congress,14.03.2019,national,National People's Congress,FALSE,general,[],[],[],[],[],,FALSE,1_laws/第十三届全国人民代表大会第二次会议秘书处关...(FBM-CLI.1.330395).txt,1_laws,data protection
Report on the Review Results of the Proposals Submitted by Representatives to the Fourth Session of the 13th National People's Congress,20.12.2021,national,People's Republic of China,FALSE,sensitive,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation', 'Next of Kin', 'Convenient Exercise & Remedy']","['Security & Management', 'Protection Officer', 'Local Representative', 'Compliance Audits', 'Impact Assessment', 'Incident Response & Notification', 'Platform Compliance', 'Outsourced Processing']","['Information Transmission, Software & IT Services', 'Public Administration, Social Security & Social Organizations']","['Parental Consent for Minors', 'Cross-Border Transfer', 'Automated Decision-Making Transparency', 'De-Identification', 'Anonymization']","['Information Collection', 'Information Processing', 'Information Dissemination', 'Invasion']",Legislation to enhance personal data protection.,TRUE,1_laws/全国人民代表大会宪法和法律委员会关于第十三...(FBM-CLI.1.5113826).txt,1_laws,data protection
Report on the Review Results of Proposals Submitted by Representatives to the Fourth Session of the Eleventh National People's Congress,29.10.2011,national,People's Republic of China,FALSE,general,[],[],[],[],[],,FALSE,1_laws/全国人民代表大会财政经济委员会关于第十一届...(FBM-CLI.1.169703).txt,1_laws,data protection
Anti-Telecom Network Fraud Law of the People's Republic of China,02.09.2022,national,People's Republic of China,FALSE,general,[],"['Security & Management', 'Protection Officer', 'Compliance Audits', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations', 'Information Transmission, Software & IT Services', 'Financial Intermediation']",['Cross-Border Transfer'],"['Information Collection', 'Information Processing']",Law to combat telecom fraud and protect citizens.,TRUE,1_laws/中华人民共和国反电信网络诈骗法(FBM-CLI.1.5133979).txt,1_laws,data protection
Work Points of the Standing Committee of the National People's Congress in 2017,11.04.2017,national,People's Republic of China,FALSE,general,[],[],[],[],[],,FALSE,1_laws/全国人大常委会2017年工作要点(FBM-CLI.1.293819).txt,1_laws,data protection
Legislative Plan of the 13th National People's Congress Standing Committee,07.09.2018,national,People's Republic of China,FALSE,general,[],[],[],[],[],,FALSE,1_laws/十三届全国人大常委会立法规划(共116件)(FBM-CLI.1.321367).txt,1_laws,data protection
Resolution on the Execution of the 2024 National Economic and Social Development Plan and the Draft of the 2025 National Economic and Social Development Plan,11.03.2025,national,People's Republic of China,FALSE,general,[],[],[],[],[],,FALSE,1_laws/第十四届全国人民代表大会第三次会议关于2024年...(FBM-CLI.1.5292718).txt,1_laws,data protection
Report on the Review Results of the Proposals Submitted by Representatives to the Fifth Session of the Thirteenth National People's Congress,30.10.2022,national,National People's Congress,TRUE,general,[],[],[],[],[],,FALSE,1_laws/全国人民代表大会教育科学文化卫生委员会关于...(FBM-CLI.1.5151531).txt,1_laws,data protection
Report on the Handling of Proposals by Representatives of the Third Session of the Twelfth National People's Congress,14.03.2015,national,People's Republic of China,FALSE,general,[],[],[],[],[],,FALSE,1_laws/十二届全国人大三次会议秘书处关于第十二届全...(FBM-CLI.1.248816).txt,1_laws,data protection
Report on the Review Results of the Proposals Submitted by Representatives to the Third Session of the Eleventh National People's Congress,25.12.2010,national,People's Republic of China,FALSE,general,[],[],[],[],[],Proposal for personal information protection law.,FALSE,1_laws/全国人民代表大会法律委员会关于第十一届全国...(FBM-CLI.1.146275).txt,1_laws,data protection
Report on the Special Research Work on Several Important Issues in the Compilation of the 14th Five-Year Plan Outline,10.08.2020,national,People's Republic of China,FALSE,general,[],[],[],[],[],,FALSE,1_laws/全国人民代表大会常务委员会办公厅关于“十四...(FBM-CLI.1.5055217).txt,1_laws,data protection
Report on the Review Results of the Proposals Submitted by Representatives to the First Session of the 13th National People's Congress,24.12.2018,national,People's Republic of China,FALSE,general,[],[],[],[],[],,FALSE,1_laws/全国人民代表大会宪法和法律委员会关于第十三...(FBM-CLI.1.328155).txt,1_laws,data protection
Law of the People's Republic of China on Surveying and Mapping (2017 Revision),27.04.2017,national,People's Republic of China,FALSE,general,[],"['Security & Management', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']",[],[],,FALSE,1_laws/中华人民共和国测绘法(2017修订)(FBM-CLI.1.293713).txt,1_laws,data protection
Report on the Handling of Proposals Submitted by Representatives at the Second Session of the Twelfth National People's Congress,12.03.2014,national,People's Republic of China,FALSE,general,[],[],[],[],[],,FALSE,1_laws/十二届全国人大二次会议秘书处关于第十二届全...(FBM-CLI.1.220732).txt,1_laws,data protection
Report on the Review Results of the Proposals Submitted by Representatives to the Chairperson of the Fifth Session of the Twelfth National People's Congress,24.12.2017,national,People's Republic of China,FALSE,general,[],[],[],[],[],Legislation proposals related to data protection.,FALSE,1_laws/全国人民代表大会法律委员会关于第十二届全国...(FBM-CLI.1.307432).txt,1_laws,data protection
National People's Congress Standing Committee 2021 Legislative Work Plan,16.04.2021,national,People's Republic of China,FALSE,general,[],[],[],[],[],,FALSE,1_laws/全国人大常委会2021年度立法工作计划(FBM-CLI.1.5011993).txt,1_laws,data protection
Report on the Review Results of the Proposals Submitted by Representatives to the Fourth Session of the Eleventh National People's Congress,31.12.2011,national,People's Republic of China,FALSE,general,[],[],[],[],[],,FALSE,1_laws/全国人民代表大会法律委员会关于第十一届全国...(FBM-CLI.1.165173).txt,1_laws,data protection
Report on the Review Results of the Proposals Submitted by Representatives to the Second Session of the 13th National People's Congress,28.12.2019,national,People's Republic of China,FALSE,general,[],[],[],[],[],,FALSE,1_laws/全国人民代表大会宪法和法律委员会关于第十三...(FBM-CLI.1.5054857).txt,1_laws,data protection
Report of the Finance and Economy Committee of the National People's Congress on the Results of the Consideration of the Motions Proposed by the Delegates Referred for Consideration by the Bureau of the First Session of the Fourteenth National People's Congress,20.10.2023,national,People's Republic of China,FALSE,general,[],[],[],[],[],,FALSE,1_laws/全国人民代表大会财政经济委员会关于第十四届...(FBM-CLI.1.5180839).txt,1_laws,data protection
Report on the Review Results of the Proposals Submitted by Representatives to the Third Session of the Twelfth National People's Congress,27.11.2015,national,People's Republic of China,FALSE,general,[],[],[],[],[],,FALSE,1_laws/全国人民代表大会法律委员会关于第十二届全国...(FBM-CLI.1.261803).txt,1_laws,data protection
Personal Information Protection Law of the People's Republic of China,20.08.2021,national,People's Republic of China,FALSE,sensitive,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation', 'Next of Kin', 'Convenient Exercise & Remedy']","['Security & Management', 'Protection Officer', 'Local Representative', 'Compliance Audits', 'Impact Assessment', 'Incident Response & Notification', 'Platform Compliance', 'Outsourced Processing']","['Public Administration, Social Security & Social Organizations']","['Parental Consent for Minors', 'Cross-Border Transfer', 'Automated Decision-Making Transparency', 'De-Identification', 'Anonymization']","['Information Collection', 'Information Processing', 'Information Dissemination', 'Invasion']",Regulates personal information processing and rights.,TRUE,1_laws/中华人民共和国个人信息保护法(FBM-CLI.1.5055321).txt,1_laws,data protection
Report of the Finance and Economy Committee of the National People's Congress on the Results of the Consideration of the Motions Proposed by the Delegates Referred for Consideration by the Bureau of the Fifth Session of the Tenth National People's Congress.,28.10.2007,national,People's Republic of China,TRUE,general,[],[],[],[],[],,FALSE,1_laws/全国人大财政经济委员会关于第十届全国人民代...(FBM-CLI.1.113426).txt,1_laws,data protection
Report on Handling Proposals Submitted by Representatives to the Third Session of the Eleventh National People's Congress,13.03.2010,national,People's Republic of China,TRUE,general,[],[],[],[],[],,FALSE,1_laws/十一届全国人大三次会议秘书处关于第十一届全...(FBM-CLI.1.134908).txt,1_laws,data protection
National People's Congress Standing Committee Work Plan for 2021,27.11.2020,national,People's Republic of China,FALSE,general,[],[],[],[],[],,FALSE,1_laws/全国人大常委会2021年度工作要点(FBM-CLI.1.5012839).txt,1_laws,data protection
Report on the Review Results of the Proposals Submitted by Representatives to the Fifth Session of the Eleventh National People's Congress,28.12.2012,national,People's Republic of China,FALSE,general,[],[],[],[],[],,FALSE,1_laws/全国人民代表大会法律委员会关于第十一届全国...(FBM-CLI.1.199433).txt,1_laws,data protection
Report on the Review Results of the Proposals Submitted by Representatives to the Chairperson of the Third Session of the 13th National People's Congress,22.01.2021,national,People's Republic of China,FALSE,general,[],[],[],[],[],,FALSE,1_laws/全国人民代表大会教育科学文化卫生委员会关于...(FBM-CLI.1.5054653).txt,1_laws,data protection
National People's Congress Standing Committee's 2017 Supervision Work Plan,11.04.2017,national,National,FALSE,general,[],[],[],[],[],,FALSE,1_laws/全国人大常委会2017年监督工作计划(FBM-CLI.1.293821).txt,1_laws,data protection
Report on the Review Results of the Proposals Submitted by Representatives to the Second Session of the 14th National People's Congress,25.12.2024,national,People's Republic of China,FALSE,general,[],[],[],[],[],,TRUE,1_laws/全国人民代表大会宪法和法律委员会关于第十四...(FBM-CLI.1.5288111).txt,1_laws,data protection
Report on the Handling of Proposals Submitted by Representatives at the First Session of the 12th National People's Congress,13.03.2013,national,People's Republic of China,FALSE,general,[],[],[],[],[],,FALSE,1_laws/十二届全国人大一次会议秘书处关于第十二届全...(FBM-CLI.1.206180).txt,1_laws,data protection
Report of the Finance and Economy Committee of the National People's Congress on the Results of the Consideration of the Motions Proposed by the Delegates Referred for Consideration by the Bureau of the Fourth Session of the Thirteenth National People's Congress,23.10.2021,national,People's Republic of China,FALSE,general,[],[],[],[],[],,FALSE,1_laws/全国人民代表大会财政经济委员会关于第十三届...(FBM-CLI.1.5113832).txt,1_laws,data protection
Report on the Review Results of the Proposals Submitted by Representatives to the First Session of the Eleventh National People's Congress,04.12.2008,national,People's Republic of China,FALSE,general,[],[],[],[],[],,FALSE,1_laws/全国人民代表大会法律委员会关于第十一届全国...(FBM-CLI.1.115350).txt,1_laws,data protection
National People's Congress Standing Committee 2020 Legislative Work Plan,16.12.2019,national,National,FALSE,general,[],[],[],[],[],,FALSE,1_laws/全国人大常委会2020年度立法工作计划(FBM-CLI.1.343351).txt,1_laws,data protection
Report on the Review Results of the Proposals Submitted by Representatives to the First Session of the Twelfth National People's Congress,28.12.2013,national,People's Republic of China,FALSE,general,"['Access & Copy', 'Erasure']",['Security & Management'],"['Public Administration, Social Security & Social Organizations']","['Parental Consent for Minors', 'Cross-Border Transfer']","['Information Collection', 'Information Processing']",Legislation proposals for personal information protection.,FALSE,1_laws/全国人民代表大会法律委员会关于第十二届全国...(FBM-CLI.1.218750).txt,1_laws,data protection
E-Commerce Law of the People's Republic of China,31.08.2018,national,People's Republic of China,FALSE,general,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure']","['Security & Management', 'Incident Response & Notification']","['Information Transmission, Software & IT Services']","['Parental Consent for Minors', 'Cross-Border Transfer']","['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates e-commerce and personal information protection.,FALSE,1_laws/中华人民共和国电子商务法(FBM-CLI.1.321035).txt,1_laws,data protection
Report on the Review Results of Proposals Submitted by Representatives to the First Session of the 13th National People's Congress,22.10.2018,national,National People's Congress,FALSE,general,[],[],[],[],[],,FALSE,1_laws/全国人民代表大会财政经济委员会关于第十三届...(FBM-CLI.1.324521).txt,1_laws,data protection
Report on the Handling of Proposals by Representatives at the Fourth Session of the 13th National People's Congress,10.03.2021,national,People's Republic of China,FALSE,general,[],[],[],[],[],,FALSE,1_laws/第十三届全国人民代表大会第四次会议秘书处关...(FBM-CLI.1.353531).txt,1_laws,data protection
Report on the Review Results of the Proposals Submitted by Representatives to the Fourth Session of the Twelfth National People's Congress,21.12.2016,national,People's Republic of China,FALSE,general,[],[],[],[],[],,FALSE,1_laws/全国人民代表大会法律委员会关于第十二届全国...(FBM-CLI.1.287290).txt,1_laws,data protection
Decision of the Standing Committee of the National People's Congress on Strengthening Network Information Protection,28.12.2012,national,People's Republic of China,FALSE,sensitive,"['Know & Decide', 'Access & Copy', 'Erasure']","['Security & Management', 'Incident Response & Notification']","['Information Transmission, Software & IT Services']",[],"['Information Collection', 'Information Processing', 'Information Dissemination']",Protects personal information and privacy online.,FALSE,1_laws/全国人民代表大会常务委员会关于加强网络信息...(FBM-CLI.1.191975).txt,1_laws,data protection
Legislative Planning of the Standing Committee of the National People's Congress (64 items),29.10.2008,national,People's Republic of China,FALSE,general,[],[],[],[],[],,FALSE,1_laws/十一届全国人大常委会立法规划(共64件)(FBM-CLI.1.312833).txt,1_laws,data protection
Civil Code of the People's Republic of China,28.05.2020,national,People's Republic of China,FALSE,general,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation', 'Next of Kin', 'Convenient Exercise & Remedy']","['Security & Management', 'Protection Officer', 'Local Representative', 'Compliance Audits', 'Impact Assessment', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']","['Parental Consent for Minors', 'Cross-Border Transfer', 'Automated Decision-Making Transparency', 'De-Identification', 'Anonymization']","['Information Collection', 'Information Processing', 'Information Dissemination', 'Invasion']",Protects personal rights and privacy.,TRUE,1_laws/中华人民共和国民法典(FBM-CLI.1.342411).txt,1_laws,data protection
Agenda of the 22nd Meeting of the Standing Committee of the 13th National People's Congress,13.10.2020,national,People's Republic of China,FALSE,general,[],[],[],[],[],,TRUE,1_laws/第十三届全国人民代表大会常务委员会第二十二...(FBM-CLI.1.5055218).txt,1_laws,data protection
The 14th Five-Year Plan for National Economic and Social Development and the Long-Range Objectives Through the Year 2035,11.03.2021,national,People's Republic of China,FALSE,general,[],[],[],[],[],Promotes digital economy and data governance.,FALSE,1_laws/中华人民共和国国民经济和社会发展第十四个五...(FBM-CLI.1.353607).txt,1_laws,data protection
Notice on Printing and Distributing the National '12th Five-Year' Cultural Reform and Development Plan Outline,29.12.2011,national,People's Republic of China,TRUE,general,[],[],"['Public Administration, Social Security & Social Organizations']",[],[],Cultural reform and development planning.,FALSE,2_admin_regulations/中共中央办公厅、国务院办公厅关于印发《国家...(FBM-CLI.16.167375).txt,2_admin_regulations,data protection
Opinions of the General Office of the State Council on Accelerating the Expansion of the Application Field of Electronic Certificates and National Interoperability,20.01.2022,national,People's Republic of China,FALSE,general,[],"['Security & Management', 'Protection Officer', 'Compliance Audits', 'Incident Response & Notification', 'Impact Assessment']","['Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing', 'Information Dissemination']",Promotes electronic certificate application and data protection.,FALSE,2_admin_regulations/国务院办公厅关于加快推进电子证照扩大应用领...(FBM-CLI.2.5114468).txt,2_admin_regulations,data protection
"Notice of the State Council on Printing and Distributing the ""Broadband China"" Strategy and Implementation Plan",01.08.2013,national,People's Republic of China,FALSE,general,[],"['Security & Management', 'Compliance Audits', 'Incident Response & Notification']","['Information Transmission, Software & IT Services', 'Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing', 'Information Dissemination']",Promotes broadband infrastructure and security.,FALSE,2_admin_regulations/国务院关于印发“宽带中国”战略及实施方案的...(FBM-CLI.2.208525).txt,2_admin_regulations,data protection
Notice of the State Council on Printing and Distributing the 13th Five-Year National Informatization Plan,15.12.2016,national,People's Republic of China,FALSE,general,[],[],[],[],[],Guidelines for national informatization development.,FALSE,2_admin_regulations/国务院关于印发“十三五”国家信息化规划的通...(FBM-CLI.2.287461).txt,2_admin_regulations,data protection
Regulations on the Formulation of Information Disclosure Rules for Public Enterprises and Institutions,07.12.2020,national,People's Republic of China,FALSE,general,[],[],[],[],[],Regulates public information disclosure practices.,FALSE,2_admin_regulations/国务院办公厅关于印发《公共企事业单位信息公...(FBM-CLI.2.349189).txt,2_admin_regulations,data protection
Notice of the General Office of the State Council on Printing and Distributing the Key Points of Government Affairs Open Work in 2018,08.04.2018,national,People's Republic of China,FALSE,general,['Know & Decide'],"['Security & Management', 'Compliance Audits']","['Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing']",Enhances government transparency and public access.,FALSE,2_admin_regulations/国务院办公厅关于印发2018年政务公开工作要点的...(FBM-CLI.2.313746).txt,2_admin_regulations,data protection
Regulations on Handling Foreign-related Intellectual Property Disputes,21.02.2025,national,People's Republic of China,FALSE,general,[],[],[],[],[],,FALSE,2_admin_regulations/国务院关于涉外知识产权纠纷处理的规定(FBM-CLI.2.5293457).txt,2_admin_regulations,data protection
2020 Government Website and Government Affairs New Media Inspection Report,26.11.2020,national,People's Republic of China,FALSE,general,"['Know & Decide', 'Access & Copy']","['Security & Management', 'Compliance Audits']","['Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing']",Enhancing government transparency and public engagement.,FALSE,2_admin_regulations/2020年政府网站和政务新媒体检查情况通报(FBM-CLI.2.348940).txt,2_admin_regulations,data protection
Notice of the State Council on Printing and Distributing the 14th Five-Year Plan for Digital Economy Development,12.12.2021,national,People's Republic of China,FALSE,general,[],[],"['Information Transmission, Software & IT Services']",[],[],Promotes digital economy and data governance.,FALSE,2_admin_regulations/国务院关于印发“十四五”数字经济发展规划的...(FBM-CLI.2.5113448).txt,2_admin_regulations,data protection
Notice of the General Office of the State Council on Further Encouraging Foreign Investment to Establish R&D Centers,11.01.2023,national,People's Republic of China,FALSE,general,[],"['Security & Management', 'Compliance Audits']","['Information Transmission, Software & IT Services', 'Scientific Research & Technical Services']","['Cross-Border Transfer', 'Automated Decision-Making Transparency']","['Information Processing', 'Information Dissemination']",Encourages foreign investment in R&D centers.,FALSE,2_admin_regulations/国务院办公厅转发商务部科技部关于进一步鼓励...(FBM-CLI.2.5150408).txt,2_admin_regulations,data protection
Opinions on Strengthening the Development and Utilization of Information Resources,13.12.2004,national,People's Republic of China,FALSE,general,[],"['Security & Management', 'Compliance Audits', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations', 'Information Transmission, Software & IT Services']",[],"['Information Collection', 'Information Processing', 'Information Dissemination']",Strengthens information resource development and security.,FALSE,2_admin_regulations/中共中央办公厅、国务院办公厅关于加强信息资...(FBM-CLI.16.116252).txt,2_admin_regulations,data protection
Notice of the State Council on Printing and Distributing the Outline of the Planning for the Construction of the Social Credit System (2014-2020),14.06.2014,national,People's Republic of China,FALSE,general,[],"['Security & Management', 'Protection Officer', 'Compliance Audits', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']",[],[],Promotes social credit system and integrity.,FALSE,2_admin_regulations/国务院关于印发社会信用体系建设规划纲要(2014—...(FBM-CLI.2.228619).txt,2_admin_regulations,data protection
Opinions on Implementing the Key Work Division of the Government Work Report,21.03.2022,national,People's Republic of China,FALSE,general,[],"['Security & Management', 'Protection Officer', 'Local Representative', 'Compliance Audits', 'Impact Assessment', 'Incident Response & Notification', 'Platform Compliance', 'Outsourced Processing']","['Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing', 'Information Dissemination', 'Invasion']",Strengthening data protection and privacy measures.,FALSE,2_admin_regulations/国务院关于落实《政府工作报告》重点工作分工...(FBM-CLI.2.5115313).txt,2_admin_regulations,data protection
National Informationization Development Strategy Outline,01.07.2016,national,People's Republic of China,FALSE,general,[],[],[],[],[],Promotes information technology for modernization.,FALSE,2_admin_regulations/国家信息化发展战略纲要(FBM-CLI.16.276460).txt,2_admin_regulations,data protection
Opinions on Promoting Online and Offline Interaction to Accelerate the Innovation and Development of Commercial Circulation,18.09.2015,national,People's Republic of China,FALSE,general,[],"['Security & Management', 'Protection Officer']","['Wholesale & Retail Trade', 'Information Transmission, Software & IT Services', 'Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing']",Promotes online-offline business integration and consumer protection.,FALSE,2_admin_regulations/国务院办公厅关于推进线上线下互动加快商贸流...(FBM-CLI.2.257709).txt,2_admin_regulations,data protection
Circular of the State Council on the Issuance of the 13th Five-Year National Science and Technology Innovation Plan,28.07.2016,national,People's Republic of China,TRUE,general,[],[],[],[],[],Promotes innovation and technology development.,FALSE,2_admin_regulations/国务院关于印发“十三五”国家科技创新规划的...(FBM-CLI.2.277508).txt,2_admin_regulations,data protection
Approval of the Work Plan for Supporting Beijing to Deepen the Comprehensive Demonstration Zone for National Service Industry Opening Up,18.11.2023,national,People's Republic of China,FALSE,general,[],[],"['Public Administration, Social Security & Social Organizations']",[],[],,FALSE,2_admin_regulations/国务院关于《支持北京深化国家服务业扩大开放...(FBM-CLI.2.5183153).txt,2_admin_regulations,data protection
Notice on Printing the Development Plan for National Standardization System Construction (2016-2020),17.12.2015,national,People's Republic of China,FALSE,general,[],[],[],[],[],,FALSE,2_admin_regulations/国务院办公厅关于印发国家标准化体系建设发展...(FBM-CLI.2.261935).txt,2_admin_regulations,data protection
Guiding Opinions of the State Council on Deepening the Development of Industrial Internet in 'Internet + Advanced Manufacturing',19.11.2017,national,People's Republic of China,FALSE,general,[],"['Security & Management', 'Compliance Audits', 'Incident Response & Notification', 'Data Protection Responsibilities']","['Information Transmission, Software & IT Services', 'Manufacturing']",[],"['Information Collection', 'Information Processing', 'Information Dissemination', 'Invasion']",Guidelines for developing industrial internet infrastructure.,FALSE,2_admin_regulations/国务院关于深化“互联网 先进制造业”发展工...(FBM-CLI.2.305507).txt,2_admin_regulations,data protection
