title,date_enacted,legal_level,jurisdiction,jurisdiction_name,general_reference,data_category,individual_rights,handler_responsibilities,sector,keywords,solove_classification,file_path,top_level_category
全国人民代表大会法律委员会关于第十一届全国人民代表大会第三次会议主席团交付审议的代表提出的议案审议结果的报告,25.12.2010,laws,national,National,FALSE,['general'],[],[],[],"['Parental Consent for Minors', 'Cross-Border Transfer', 'Automated Decision-Making Transparency', 'De-Identification', 'Anonymization']",[],全国人民代表大会法律委员会关于第十一届全国...(FBM-CLI.1.146275).txt,1_laws
全国人民代表大会常务委员会办公厅关于“十四五”规划纲要编制工作若干重要问题专题调研工作情况的报告,10.08.2020,administrative regulations,national,China,FALSE,[],[],[],[],[],[],全国人民代表大会常务委员会办公厅关于“十四...(FBM-CLI.1.5055217).txt,1_laws
全国人民代表大会宪法和法律委员会关于第十三届全国人民代表大会第一次会议主席团交付审议的代表提出的议案审议结果的报告,24.12.2018,administrative regulations,national,China,FALSE,[],[],[],[],[],[],全国人民代表大会宪法和法律委员会关于第十三...(FBM-CLI.1.328155).txt,1_laws
中华人民共和国测绘法(2017修订),27.04.2017,laws,national,China,FALSE,[],[],"['Security & Management', 'Protection Officer', 'Compliance Audits']",[],[],"['Information Collection', 'Information Processing', 'Information Dissemination']",中华人民共和国测绘法(2017修订)(FBM-CLI.1.293713).txt,1_laws
十二届全国人大二次会议秘书处关于第十二届全国人民代表大会第二次会议代表提出议案处理意见的报告,12.03.2014,laws,national,China,FALSE,[],"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation', 'Next of Kin', 'Convenient Exercise & Remedy']","['Security & Management', 'Protection Officer', 'Local Representative', 'Compliance Audits', 'Impact Assessment', 'Incident Response & Notification', 'Platform Compliance', 'Outsourced Processing']",[],"['Parental Consent for Minors', 'Cross-Border Transfer', 'Automated Decision-Making Transparency', 'De-Identification', 'Anonymization']","['Information Collection', 'Information Processing', 'Information Dissemination', 'Invasion']",十二届全国人大二次会议秘书处关于第十二届全...(FBM-CLI.1.220732).txt,1_laws
全国人民代表大会法律委员会关于第十二届全国人民代表大会第五次会议主席团交付审议的代表提出的议案审议结果的报告,24.12.2017,laws,national,China,FALSE,['general'],"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation']","['Security & Management', 'Protection Officer', 'Compliance Audits', 'Impact Assessment']","['Information Transmission, Software & IT Services', 'Public Administration, Social Security & Social Organizations']","['Parental Consent for Minors', 'Cross-Border Transfer', 'Automated Decision-Making Transparency']","['Information Collection', 'Information Processing', 'Information Dissemination']",全国人民代表大会法律委员会关于第十二届全国...(FBM-CLI.1.307432).txt,1_laws
全国人大常委会2021年度立法工作计划,27.11.2020,administrative regulations,national,China,FALSE,[],[],[],[],[],[],全国人大常委会2021年度立法工作计划(FBM-CLI.1.5011993).txt,1_laws
全国人民代表大会法律委员会关于第十一届全国人民代表大会第四次会议主席团交付审议的代表提出的议案审议结果的报告,31.12.2011,laws,national,China,FALSE,"['general', 'sensitive']","['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation', 'Next of Kin', 'Convenient Exercise & Remedy']","['Security & Management', 'Protection Officer', 'Local Representative', 'Compliance Audits', 'Impact Assessment', 'Incident Response & Notification', 'Platform Compliance', 'Outsourced Processing']","['Information Transmission, Software & IT Services', 'Public Administration, Social Security & Social Organizations']","['Parental Consent for Minors', 'Cross-Border Transfer', 'Automated Decision-Making Transparency', 'De-Identification', 'Anonymization']","['Information Collection', 'Information Processing', 'Information Dissemination', 'Invasion']",全国人民代表大会法律委员会关于第十一届全国...(FBM-CLI.1.165173).txt,1_laws
全国人民代表大会宪法和法律委员会关于第十三届全国人民代表大会第二次会议主席团交付审议的代表提出的议案审议结果的报告,28.12.2019,administrative regulations,national,China,FALSE,[],[],[],[],[],[],全国人民代表大会宪法和法律委员会关于第十三...(FBM-CLI.1.5054857).txt,1_laws
全国人民代表大会财政经济委员会关于第十四届全国人民代表大会第一次会议主席团交付审议的代表提出的议案审议结果的报告,20.10.2023,administrative regulations,national,China,FALSE,[],[],[],[],[],[],全国人民代表大会财政经济委员会关于第十四届...(FBM-CLI.1.5180839).txt,1_laws
全国人民代表大会法律委员会关于第十二届全国人民代表大会第三次会议主席团交付审议的代表提出的议案审议结果的报告,27.11.2015,laws,national,China,FALSE,[],[],[],[],[],[],全国人民代表大会法律委员会关于第十二届全国...(FBM-CLI.1.261803).txt,1_laws
中华人民共和国个人信息保护法,20.08.2021,laws,national,People's Republic of China,FALSE,"['general', 'sensitive']","['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation', 'Next of Kin', 'Convenient Exercise & Remedy']","['Security & Management', 'Protection Officer', 'Local Representative', 'Compliance Audits', 'Impact Assessment', 'Incident Response & Notification', 'Platform Compliance', 'Outsourced Processing']","['Information Transmission, Software & IT Services', 'Financial Intermediation', 'Health & Social Work', 'Public Administration, Social Security & Social Organizations']","['Parental Consent for Minors', 'Cross-Border Transfer', 'Automated Decision-Making Transparency', 'De-Identification', 'Anonymization']","['Information Collection', 'Information Processing', 'Information Dissemination', 'Invasion']",中华人民共和国个人信息保护法(FBM-CLI.1.5055321).txt,1_laws
全国人大财政经济委员会关于第十届全国人民代表大会第五次会议主席团交付审议的代表提出的议案审议结果的报告,28.10.2007,administrative regulations,national,China,FALSE,[],[],[],[],[],[],全国人大财政经济委员会关于第十届全国人民代...(FBM-CLI.1.113426).txt,1_laws
关于第十一届全国人民代表大会第三次会议代表提出议案处理意见的报告,13.03.2010,administrative regulations,national,China,FALSE,[],[],[],[],[],[],十一届全国人大三次会议秘书处关于第十一届全...(FBM-CLI.1.134908).txt,1_laws
全国人大常委会2021年度工作要点,16.04.2021,administrative regulations,national,China,FALSE,"['general', 'sensitive']","['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation', 'Next of Kin', 'Convenient Exercise & Remedy']","['Security & Management', 'Protection Officer', 'Local Representative', 'Compliance Audits', 'Impact Assessment', 'Incident Response & Notification', 'Platform Compliance', 'Outsourced Processing']","['Information Transmission, Software & IT Services', 'Public Administration, Social Security & Social Organizations']","['Parental Consent for Minors', 'Cross-Border Transfer', 'Automated Decision-Making Transparency', 'De-Identification', 'Anonymization']","['Information Collection', 'Information Processing', 'Information Dissemination', 'Invasion']",全国人大常委会2021年度工作要点(FBM-CLI.1.5012839).txt,1_laws
全国人民代表大会法律委员会关于第十一届全国人民代表大会第五次会议主席团交付审议的代表提出的议案审议结果的报告,28.12.2012,administrative regulations,national,China,FALSE,['general'],[],[],[],"['Cross-Border Transfer', 'Automated Decision-Making Transparency']","['Information Collection', 'Information Processing']",全国人民代表大会法律委员会关于第十一届全国...(FBM-CLI.1.199433).txt,1_laws
全国人民代表大会教育科学文化卫生委员会关于第十三届全国人民代表大会第三次会议主席团交付审议的代表提出的议案审议结果的报告,22.01.2021,administrative regulations,national,China,FALSE,[],[],[],[],[],[],全国人民代表大会教育科学文化卫生委员会关于...(FBM-CLI.1.5054653).txt,1_laws
全国人大常委会2017年监督工作计划,12.12.2016,administrative regulations,national,China,FALSE,[],[],[],[],[],[],全国人大常委会2017年监督工作计划(FBM-CLI.1.293821).txt,1_laws
全国人民代表大会宪法和法律委员会关于第十四届全国人民代表大会第二次会议主席团交付审议的代表提出的议案审议结果的报告,25.12.2024,laws,national,China,FALSE,[],[],[],[],[],[],全国人民代表大会宪法和法律委员会关于第十四...(FBM-CLI.1.5288111).txt,1_laws
十二届全国人大一次会议秘书处关于第十二届全国人民代表大会第一次会议代表提出议案处理意见的报告,13.03.2013,laws,national,China,FALSE,[],[],[],[],[],[],十二届全国人大一次会议秘书处关于第十二届全...(FBM-CLI.1.206180).txt,1_laws
全国人民代表大会财政经济委员会关于第十三届全国人民代表大会第四次会议主席团交付审议的代表提出的议案审议结果的报告,23.10.2021,administrative regulations,national,China,FALSE,[],[],[],[],[],[],全国人民代表大会财政经济委员会关于第十三届...(FBM-CLI.1.5113832).txt,1_laws
全国人民代表大会法律委员会关于第十一届全国人民代表大会第一次会议主席团交付审议的代表提出的议案审议结果的报告,27.12.2008,laws,national,National,FALSE,[],[],[],[],[],[],全国人民代表大会法律委员会关于第十一届全国...(FBM-CLI.1.115350).txt,1_laws
全国人大常委会2020年度立法工作计划,16.12.2019,administrative regulations,national,China,FALSE,['general'],"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation', 'Next of Kin', 'Convenient Exercise & Remedy']","['Security & Management', 'Protection Officer', 'Local Representative', 'Compliance Audits', 'Impact Assessment', 'Incident Response & Notification', 'Platform Compliance', 'Outsourced Processing']","['Information Transmission, Software & IT Services', 'Public Administration, Social Security & Social Organizations']","['Parental Consent for Minors', 'Cross-Border Transfer', 'Automated Decision-Making Transparency', 'De-Identification', 'Anonymization']","['Information Collection', 'Information Processing', 'Information Dissemination', 'Invasion']",全国人大常委会2020年度立法工作计划(FBM-CLI.1.343351).txt,1_laws
全国人民代表大会法律委员会关于第十二届全国人民代表大会第一次会议主席团交付审议的代表提出的议案审议结果的报告,28.12.2013,laws,national,China,FALSE,"['general', 'sensitive']","['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation']","['Security & Management', 'Protection Officer', 'Compliance Audits', 'Impact Assessment', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']","['Parental Consent for Minors', 'Cross-Border Transfer', 'Automated Decision-Making Transparency']","['Information Collection', 'Information Processing', 'Information Dissemination']",全国人民代表大会法律委员会关于第十二届全国...(FBM-CLI.1.218750).txt,1_laws
中华人民共和国电子商务法,31.08.2018,laws,national,China,FALSE,['general'],"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation']","['Security & Management', 'Protection Officer', 'Compliance Audits', 'Incident Response & Notification']","['Information Transmission, Software & IT Services', 'Public Administration, Social Security & Social Organizations']","['Parental Consent for Minors', 'Cross-Border Transfer']","['Information Collection', 'Information Processing', 'Information Dissemination']",中华人民共和国电子商务法(FBM-CLI.1.321035).txt,1_laws
全国人民代表大会财政经济委员会关于第十三届全国人民代表大会第一次会议主席团交付审议的代表提出的议案审议结果的报告,22.10.2018,administrative regulations,national,China,FALSE,[],[],[],[],[],[],全国人民代表大会财政经济委员会关于第十三届...(FBM-CLI.1.324521).txt,1_laws
第十三届全国人民代表大会第四次会议秘书处关于代表提出议案处理意见的报告,10.03.2021,administrative regulations,national,China,FALSE,[],[],[],[],[],[],第十三届全国人民代表大会第四次会议秘书处关...(FBM-CLI.1.353531).txt,1_laws
全国人民代表大会法律委员会关于第十二届全国人民代表大会第四次会议主席团交付审议的代表提出的议案审议结果的报告,21.12.2016,administrative regulations,national,China,FALSE,"['general', 'sensitive']","['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation']","['Security & Management', 'Protection Officer', 'Compliance Audits', 'Impact Assessment', 'Incident Response & Notification']","['Information Transmission, Software & IT Services', 'Public Administration, Social Security & Social Organizations']","['Parental Consent for Minors', 'Cross-Border Transfer', 'Automated Decision-Making Transparency']","['Information Collection', 'Information Processing', 'Information Dissemination']",全国人民代表大会法律委员会关于第十二届全国...(FBM-CLI.1.287290).txt,1_laws
全国人民代表大会常务委员会关于加强网络信息保护的决定,28.12.2012,laws,national,China,FALSE,"['general', 'sensitive']","['Know & Decide', 'Access & Copy', 'Erasure']","['Security & Management', 'Incident Response & Notification']","['Information Transmission, Software & IT Services']","['Parental Consent for Minors', 'Cross-Border Transfer']","['Information Collection', 'Information Processing', 'Information Dissemination']",全国人民代表大会常务委员会关于加强网络信息...(FBM-CLI.1.191975).txt,1_laws
十一届全国人大常委会立法规划(共64件),29.10.2008,laws,national,National,FALSE,[],[],[],[],[],[],十一届全国人大常委会立法规划(共64件)(FBM-CLI.1.312833).txt,1_laws
中华人民共和国民法典,28.05.2020,laws,national,People's Republic of China,FALSE,"['general', 'sensitive']","['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation', 'Next of Kin', 'Convenient Exercise & Remedy']","['Security & Management', 'Protection Officer', 'Compliance Audits', 'Impact Assessment', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations', 'Health & Social Work', 'Education', 'Information Transmission, Software & IT Services']","['Parental Consent for Minors', 'Cross-Border Transfer', 'Automated Decision-Making Transparency', 'De-Identification', 'Anonymization']","['Information Collection', 'Information Processing', 'Information Dissemination', 'Invasion']",中华人民共和国民法典(FBM-CLI.1.342411).txt,1_laws
中华人民共和国个人信息保护法（草案）,13.10.2020,laws,national,China,FALSE,[],[],[],[],[],[],第十三届全国人民代表大会常务委员会第二十二...(FBM-CLI.1.5055218).txt,1_laws
中华人民共和国国民经济和社会发展第十四个五年规划和2035年远景目标纲要,11.03.2021,laws,national,People's Republic of China,FALSE,[],[],[],[],[],[],中华人民共和国国民经济和社会发展第十四个五...(FBM-CLI.1.353607).txt,1_laws
