title,date_enacted,jurisdiction,jurisdiction_name,general_reference,data_category,individual_rights,handler_responsibilities,sector,keywords,solove_classification,synopsis,pipl_mention,file_path,top_level_category
Report on the Handling of Proposals Submitted by Deputies to the First Session of the 11th National People's Congress,2008-03-14,national,China,True,general,[],[],[],[],[],,False,data_protection/1_laws/十一届全国人大一次会议秘书处关于第十一届全...(FBM-CLI.1.113374).txt,data_protection
Report of the Constitution and Law Committee of the National People's Congress on the Review Results of Proposals Submitted by Deputies at the Third Session of the 13th National People's Congress Presidium,2021-01-22,national,National,False,general,[],[],[],[],[],Summarizes legislative proposals including personal data protection laws,True,data_protection/1_laws/全国人民代表大会宪法和法律委员会关于第十三...(FBM-CLI.1.5054651).txt,data_protection
Report on the Handling of Proposals Submitted by Deputies to the First Session of the 13th National People's Congress,2018-03-16,national,National,True,general,[],[],[],[],[],,False,data_protection/1_laws/第十三届全国人民代表大会第一次会议秘书处关...(FBM-CLI.1.311595).txt,data_protection
The 13th National People's Congress Fifth Session Resolution on the Implementation of the 2021 National Economic and Social Development Plan and the 2022 National Economic and Social Development Plan,2022-03-11,national,China,True,general,[],[],[],[],[],,False,data_protection/1_laws/第十三届全国人民代表大会第五次会议关于2021年...(FBM-CLI.1.5114781).txt,data_protection
The 13th Five-Year Plan for National Economic and Social Development of the People's Republic of China,2016-03-16,national,China,True,general,[],[],[],[],[],,False,data_protection/1_laws/中华人民共和国国民经济和社会发展第十三个五...(FBM-CLI.1.266682).txt,data_protection
Report on the Handling of Proposals Submitted by Deputies to the Fifth Session of the Eleventh National People's Congress,2012-03-13,national,China,True,general,[],[],[],[],[],,False,data_protection/1_laws/十一届全国人大五次会议秘书处关于第十一届全...(FBM-CLI.1.175135).txt,data_protection
Emergency Response Law of the People's Republic of China (2024 Revision),2024-06-28,national,China,True,general,[],[],[],[],[],,False,data_protection/1_laws/中华人民共和国突发事件应对法(2024修订)(FBM-CLI.1.5195915).txt,data_protection
Report of the Financial and Economic Committee of the National People's Congress on the Review Results of Proposals Submitted by Deputies at the Fifth Session of the 13th National People's Congress,2022-10-27,national,China,True,general,[],[],[],[],[],,False,data_protection/1_laws/全国人民代表大会财政经济委员会关于第十三届...(FBM-CLI.1.5137889).txt,data_protection
Report of the Financial and Economic Committee of the National People's Congress on the Review Results of Proposals Submitted by Deputies at the Fifth Session of the Eleventh National People's Congress,2012-10-26,national,China,True,general,[],[],[],[],[],,False,data_protection/1_laws/全国人民代表大会财政经济委员会关于第十一届...(FBM-CLI.1.187201).txt,data_protection
Cybersecurity Law of the People's Republic of China,2016-11-07,national,China,False,general,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Convenient Exercise & Remedy']","['Security & Management', 'Impact Assessment', 'Incident Response & Notification', 'Outsourced Processing']","['Information Transmission, Software & IT Services', 'Financial Intermediation', 'Public Administration, Social Security & Social Organizations']",['Cross-Border Transfer'],"['Information Collection', 'Information Processing', 'Information Dissemination']",Establishes cybersecurity measures protecting personal data and privacy.,False,data_protection/1_laws/中华人民共和国网络安全法(FBM-CLI.1.283838).txt,data_protection
Report on the Handling Opinions of Proposals Submitted by Deputies to the Second Session of the 13th National People's Congress,2019-03-14,national,China,True,general,[],[],[],[],[],,False,data_protection/1_laws/第十三届全国人民代表大会第二次会议秘书处关...(FBM-CLI.1.330395).txt,data_protection
Report of the Constitution and Law Committee of the National People's Congress on the Review Results of Proposals Submitted by Deputies at the Fourth Session of the 13th National People's Congress Presidium,2021-12-20,national,National,False,sensitive,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation', 'Convenient Exercise & Remedy']","['Security & Management', 'Protection Officer', 'Local Representative', 'Compliance Audits', 'Impact Assessment', 'Incident Response & Notification', 'Platform Compliance', 'Outsourced Processing']","['Information Transmission, Software & IT Services', 'Financial Intermediation', 'Health & Social Work', 'Education', 'Public Administration, Social Security & Social Organizations']","['Parental Consent for Minors', 'Cross-Border Transfer', 'Automated Decision-Making Transparency', 'De-Identification', 'Anonymization']","['Information Collection', 'Information Processing', 'Information Dissemination', 'Invasion']",Legislative report promoting privacy and data protection laws,True,data_protection/1_laws/全国人民代表大会宪法和法律委员会关于第十三...(FBM-CLI.1.5113826).txt,data_protection
Report on the Review Results of Proposals Submitted by Deputies to the Fourth Session of the 11th National People's Congress Presidium by the Financial and Economic Committee of the National People's Congress,2011-10-29,national,China,True,general,[],[],[],[],[],,False,data_protection/1_laws/全国人民代表大会财政经济委员会关于第十一届...(FBM-CLI.1.169703).txt,data_protection
Anti-Telecommunication Network Fraud Law of the People's Republic of China,2022-09-02,national,China,False,sensitive,[],"['Security & Management', 'Compliance Audits', 'Incident Response & Notification', 'Outsourced Processing']","['Information Transmission, Software & IT Services', 'Financial Intermediation']",['Cross-Border Transfer'],"['Information Collection', 'Information Processing', 'Information Dissemination']",Law combats telecom fraud and protects personal data,True,data_protection/1_laws/中华人民共和国反电信网络诈骗法(FBM-CLI.1.5133979).txt,data_protection
Work Priorities of the Standing Committee of the National People's Congress in 2017,2016-12-12,national,China,True,general,[],[],[],[],[],,False,data_protection/1_laws/全国人大常委会2017年工作要点(FBM-CLI.1.293819).txt,data_protection
Legislative Plan of the 13th National People's Congress Standing Committee (116 Items),2018-09-07,national,China,True,general,[],[],[],[],[],,False,data_protection/1_laws/十三届全国人大常委会立法规划(共116件)(FBM-CLI.1.321367).txt,data_protection
Decision of the 14th National People's Congress Third Session on the Implementation of the 2024 National Economic and Social Development Plan and the Draft 2025 National Economic and Social Development Plan,2025-03-11,national,China,True,general,[],[],[],[],[],,False,data_protection/1_laws/第十四届全国人民代表大会第三次会议关于2024年...(FBM-CLI.1.5292718).txt,data_protection
"Report on the Review Results of Proposals Submitted by Deputies to the Presidium of the 5th Session of the 13th National People's Congress by the Education, Science, Culture and Health Committee of the National People's Congress",2022-10-30,national,China,True,general,[],[],[],[],[],,False,data_protection/1_laws/全国人民代表大会教育科学文化卫生委员会关于...(FBM-CLI.1.5151531).txt,data_protection
Report on the Handling Opinions of Proposals Submitted by Deputies to the Third Session of the 12th National People's Congress,2015-03-14,national,National,True,general,[],[],[],[],[],,False,data_protection/1_laws/十二届全国人大三次会议秘书处关于第十二届全...(FBM-CLI.1.248816).txt,data_protection
Report of the Legislative Affairs Commission of the National People's Congress on the Review Results of Proposals Submitted by Deputies to the Third Session of the 11th National People's Congress Presidium,2010-12-25,national,National,True,general,[],[],[],[],[],,False,data_protection/1_laws/全国人民代表大会法律委员会关于第十一届全国...(FBM-CLI.1.146275).txt,data_protection
Report on the Special Research Work of the 14th Five-Year Plan Outline Preparation by the General Office of the Standing Committee of the National People's Congress,2020-08-10,national,China,True,general,[],[],[],[],[],,False,data_protection/1_laws/全国人民代表大会常务委员会办公厅关于“十四...(FBM-CLI.1.5055217).txt,data_protection
Report of the Constitution and Law Committee of the National People's Congress on the Review Results of Proposals Submitted by Deputies at the First Session of the 13th National People's Congress,2018-12-24,national,National,True,general,[],[],[],[],[],,False,data_protection/1_laws/全国人民代表大会宪法和法律委员会关于第十三...(FBM-CLI.1.328155).txt,data_protection
Surveying and Mapping Law of the People's Republic of China (2017 Revision),2017-04-27,national,China,True,general,[],[],[],[],[],,False,data_protection/1_laws/中华人民共和国测绘法(2017修订)(FBM-CLI.1.293713).txt,data_protection
Report on the Handling of Proposals Submitted by Deputies to the Second Session of the 12th National People's Congress,2014-03-12,national,China,True,general,[],[],[],[],[],,False,data_protection/1_laws/十二届全国人大二次会议秘书处关于第十二届全...(FBM-CLI.1.220732).txt,data_protection
Report of the Legislative Affairs Commission of the National People's Congress on the Review Results of Proposals Submitted by Deputies to the 5th Session of the 12th National People's Congress Presidium,2017-12-24,national,China,True,general,[],[],[],[],[],,False,data_protection/1_laws/全国人民代表大会法律委员会关于第十二届全国...(FBM-CLI.1.307432).txt,data_protection
2021 Legislative Work Plan of the Standing Committee of the National People's Congress,2020-11-27,national,China,True,general,[],[],[],[],[],Legislative plan mentioning data protection laws,False,data_protection/1_laws/全国人大常委会2021年度立法工作计划(FBM-CLI.1.5011993).txt,data_protection
Report of the Legislative Affairs Commission of the National People's Congress on the Review Results of Proposals Submitted by Deputies at the Fourth Session of the 11th National People's Congress Presidium,2011-12-31,national,China,True,general,[],[],[],[],[],,False,data_protection/1_laws/全国人民代表大会法律委员会关于第十一届全国...(FBM-CLI.1.165173).txt,data_protection
Report of the Constitution and Law Committee of the National People's Congress on the Review Results of Proposals Submitted by Deputies at the Second Session of the 13th National People's Congress Presidium,2019-12-28,national,China,True,general,[],[],[],[],[],,False,data_protection/1_laws/全国人民代表大会宪法和法律委员会关于第十三...(FBM-CLI.1.5054857).txt,data_protection
Report on the Review Results of Proposals Submitted by Deputies to the 14th National People's Congress First Session Presidium,2023-10-24,national,China,True,general,[],[],[],[],[],,False,data_protection/1_laws/全国人民代表大会财政经济委员会关于第十四届...(FBM-CLI.1.5180839).txt,data_protection
Report of the Legislative Affairs Commission of the National People's Congress on the Review Results of Proposals Submitted by Deputies at the Third Session of the 12th National People's Congress,2015-11-27,national,China,True,general,[],[],[],[],[],,False,data_protection/1_laws/全国人民代表大会法律委员会关于第十二届全国...(FBM-CLI.1.261803).txt,data_protection
Personal Information Protection Law of the People's Republic of China,2021-08-20,national,China,False,sensitive,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation', 'Next of Kin', 'Convenient Exercise & Remedy']","['Security & Management', 'Protection Officer', 'Local Representative', 'Compliance Audits', 'Impact Assessment', 'Incident Response & Notification', 'Platform Compliance', 'Outsourced Processing']","['Information Transmission, Software & IT Services', 'Financial Intermediation', 'Health & Social Work', 'Public Administration, Social Security & Social Organizations']","['Parental Consent for Minors', 'Cross-Border Transfer', 'Automated Decision-Making Transparency', 'De-Identification', 'Anonymization']","['Information Collection', 'Information Processing', 'Information Dissemination', 'Invasion']",Comprehensive law protecting personal information and privacy rights,True,data_protection/1_laws/中华人民共和国个人信息保护法(FBM-CLI.1.5055321).txt,data_protection
Report of the Financial and Economic Committee of the National People's Congress on the Review Results of Proposals Submitted by Deputies at the Fifth Session of the Tenth National People's Congress,2007-10-28,national,China,True,general,[],[],[],[],[],,False,data_protection/1_laws/全国人大财政经济委员会关于第十届全国人民代...(FBM-CLI.1.113426).txt,data_protection
Report on the Handling of Proposals Submitted by Deputies to the Third Session of the 11th National People's Congress,2010-03-13,national,China,True,general,[],[],[],[],[],,False,data_protection/1_laws/十一届全国人大三次会议秘书处关于第十一届全...(FBM-CLI.1.134908).txt,data_protection
2021 Work Priorities of the Standing Committee of the National People's Congress,2020-11-27,national,China,True,general,[],[],[],[],[],,False,data_protection/1_laws/全国人大常委会2021年度工作要点(FBM-CLI.1.5012839).txt,data_protection
Report of the Legislative Affairs Commission of the National People's Congress on the Review Results of Proposals Submitted by Deputies at the Fifth Session of the Eleventh National People's Congress Presidium,2012-12-28,national,China,True,general,[],[],[],[],[],,False,data_protection/1_laws/全国人民代表大会法律委员会关于第十一届全国...(FBM-CLI.1.199433).txt,data_protection
"Report on the Review Results of Proposals Submitted by Deputies at the Third Session of the 13th National People's Congress Presidium by the Education, Science, Culture and Health Committee of the National People's Congress",2021-01-22,national,China,True,general,[],[],"['Education', 'Health & Social Work', 'Public Administration, Social Security & Social Organizations']",[],[],Overview of legislative proposals without specific privacy measures,False,data_protection/1_laws/全国人民代表大会教育科学文化卫生委员会关于...(FBM-CLI.1.5054653).txt,data_protection
2017 Supervision Work Plan of the Standing Committee of the National People's Congress,2016-12-12,national,China,True,general,[],[],[],[],[],,False,data_protection/1_laws/全国人大常委会2017年监督工作计划(FBM-CLI.1.293821).txt,data_protection
Report of the Constitution and Law Committee of the National People's Congress on the Review Results of Proposals Submitted by Deputies at the Second Session of the 14th National People's Congress,2024-12-25,national,China,True,general,[],[],[],[],[],,False,data_protection/1_laws/全国人民代表大会宪法和法律委员会关于第十四...(FBM-CLI.1.5288111).txt,data_protection
Report on the Handling of Proposals Submitted by Deputies to the First Session of the 12th National People's Congress,2013-03-13,national,China,True,general,[],[],[],[],[],,False,data_protection/1_laws/十二届全国人大一次会议秘书处关于第十二届全...(FBM-CLI.1.206180).txt,data_protection
Report of the Financial and Economic Committee of the National People's Congress on the Review Results of Proposals Submitted by Deputies at the Fourth Session of the 13th National People's Congress,2021-10-23,national,China,True,general,[],[],[],[],[],,False,data_protection/1_laws/全国人民代表大会财政经济委员会关于第十三届...(FBM-CLI.1.5113832).txt,data_protection
Report of the Legislative Affairs Commission of the National People's Congress on the Review Results of Proposals Submitted by Deputies at the First Session of the 11th National People's Congress Presidium,2008-12-27,national,China,True,general,[],[],[],[],[],,False,data_protection/1_laws/全国人民代表大会法律委员会关于第十一届全国...(FBM-CLI.1.115350).txt,data_protection
Standing Committee of the National People's Congress 2020 Legislative Work Plan,2019-12-16,national,China,True,general,[],[],[],[],[],Legislative plan including personal information protection law,True,data_protection/1_laws/全国人大常委会2020年度立法工作计划(FBM-CLI.1.343351).txt,data_protection
Report of the Legislative Affairs Commission of the National People's Congress on the Review Results of Proposals Submitted by Deputies at the First Session of the 12th National People's Congress Presidium,2013-12-28,national,China,True,general,[],[],[],[],[],,False,data_protection/1_laws/全国人民代表大会法律委员会关于第十二届全国...(FBM-CLI.1.218750).txt,data_protection
E-Commerce Law of the People's Republic of China,2018-08-31,national,China,False,general,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Convenient Exercise & Remedy']","['Security & Management', 'Incident Response & Notification', 'Outsourced Processing']","['Wholesale & Retail Trade', 'Information Transmission, Software & IT Services', 'Financial Intermediation']",['Cross-Border Transfer'],"['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates e-commerce to protect personal data and user rights.,False,data_protection/1_laws/中华人民共和国电子商务法(FBM-CLI.1.321035).txt,data_protection
Report on the Review Results of Proposals Submitted by Deputies at the First Session of the 13th National People's Congress Presidium by the Financial and Economic Committee of the National People's Congress,2018-10-22,national,National,True,general,[],[],[],[],[],,False,data_protection/1_laws/全国人民代表大会财政经济委员会关于第十三届...(FBM-CLI.1.324521).txt,data_protection
Report on the Handling Opinions of Proposals Submitted by Deputies at the Fourth Session of the 13th National People's Congress,2021-03-10,national,China,True,general,[],[],[],[],[],,False,data_protection/1_laws/第十三届全国人民代表大会第四次会议秘书处关...(FBM-CLI.1.353531).txt,data_protection
Report on the Review Results of Proposals Submitted by Deputies at the 4th Session of the 12th National People's Congress Presidium by the Legislative Affairs Commission of the National People's Congress,2016-12-21,national,National,True,general,[],[],[],[],[],,False,data_protection/1_laws/全国人民代表大会法律委员会关于第十二届全国...(FBM-CLI.1.287290).txt,data_protection
Decision of the Standing Committee of the National People's Congress on Strengthening the Protection of Online Information,2012-12-28,national,China,False,general,"['Erasure', 'Convenient Exercise & Remedy']","['Security & Management', 'Incident Response & Notification']","['Information Transmission, Software & IT Services']",[],"['Information Collection', 'Information Processing', 'Information Dissemination']",Enhances protection of personal online information and security,False,data_protection/1_laws/全国人民代表大会常务委员会关于加强网络信息...(FBM-CLI.1.191975).txt,data_protection
Eleventh National People's Congress Standing Committee Legislative Plan (64 Items),2008-10-29,national,China,True,general,[],[],[],[],[],,False,data_protection/1_laws/十一届全国人大常委会立法规划(共64件)(FBM-CLI.1.312833).txt,data_protection
Civil Code of the People's Republic of China,2020-05-28,national,China,False,sensitive,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation', 'Next of Kin', 'Convenient Exercise & Remedy']","['Security & Management', 'Incident Response & Notification']",[],['Parental Consent for Minors'],"['Information Collection', 'Information Processing', 'Information Dissemination', 'Invasion']",Protects personal privacy and information rights,False,data_protection/1_laws/中华人民共和国民法典(FBM-CLI.1.342411).txt,data_protection
Agenda of the 22nd Meeting of the Standing Committee of the 13th National People's Congress,2020-10-13,national,China,True,general,[],[],[],[],[],,False,data_protection/1_laws/第十三届全国人民代表大会常务委员会第二十二...(FBM-CLI.1.5055218).txt,data_protection
The 14th Five-Year Plan for National Economic and Social Development of the People's Republic of China and the Long-Range Objectives Through the Year 2035,2021-03-11,national,China,True,general,[],[],[],[],[],,False,data_protection/1_laws/中华人民共和国国民经济和社会发展第十四个五...(FBM-CLI.1.353607).txt,data_protection
National 12th Five-Year Plan for Cultural Reform and Development,2011-12-29,national,China,True,general,[],[],"['Culture, Sports & Entertainment']",[],[],Cultural development plan without specific privacy measures,False,data_protection/2_admin_regulations/中共中央办公厅、国务院办公厅关于印发《国家...(FBM-CLI.16.167375).txt,data_protection
Opinions of the General Office of the State Council on Accelerating the Expansion of Electronic Licenses Application Fields and Nationwide Interconnection and Mutual Recognition,2022-01-20,national,China,False,general,[],['Security & Management'],"['Public Administration, Social Security & Social Organizations', 'Information Transmission, Software & IT Services', 'Financial Intermediation', 'Health & Social Work', 'Education']",[],"['Information Collection', 'Information Processing']","Promotes secure, standardized electronic license use and data protection",False,data_protection/2_admin_regulations/国务院办公厅关于加快推进电子证照扩大应用领...(FBM-CLI.2.5114468).txt,data_protection
"Notice of the State Council on Issuing the ""Broadband China"" Strategy and Implementation Plan",2013-08-01,national,China,True,general,[],[],"['Information Transmission, Software & IT Services', 'Education', 'Health & Social Work', 'Public Administration, Social Security & Social Organizations']",[],[],Promotes broadband infrastructure and network security,False,data_protection/2_admin_regulations/国务院关于印发“宽带中国”战略及实施方案的...(FBM-CLI.2.208525).txt,data_protection
The 13th Five-Year National Informatization Plan,2016-12-15,national,China,False,general,[],"['Security & Management', 'Impact Assessment', 'Incident Response & Notification', 'Outsourced Processing']","['Information Transmission, Software & IT Services', 'Manufacturing', 'Agriculture, Forestry, Animal Husbandry & Fishery', 'Health & Social Work', 'Education', 'Financial Intermediation', 'Public Administration, Social Security & Social Organizations']","['Cross-Border Transfer', 'De-Identification']","['Information Collection', 'Information Processing', 'Information Dissemination']","Promotes data security, privacy protection, and information infrastructure development.",False,data_protection/2_admin_regulations/国务院关于印发“十三五”国家信息化规划的通...(FBM-CLI.2.287461).txt,data_protection
Measures for the Formulation of Information Disclosure Regulations for Public Institutions and Enterprises,2020-12-07,national,China,True,general,[],[],[],[],[],,False,data_protection/2_admin_regulations/国务院办公厅关于印发《公共企事业单位信息公...(FBM-CLI.2.349189).txt,data_protection
Notice of the General Office of the State Council on Issuing the 2018 Key Points of Government Affairs Disclosure Work,2018-04-08,national,China,True,general,[],[],[],[],[],,False,data_protection/2_admin_regulations/国务院办公厅关于印发2018年政务公开工作要点的...(FBM-CLI.2.313746).txt,data_protection
Regulations of the State Council on Handling Foreign-related Intellectual Property Disputes,2025-02-21,national,China,True,general,[],[],[],[],[],,False,data_protection/2_admin_regulations/国务院关于涉外知识产权纠纷处理的规定(FBM-CLI.2.5293457).txt,data_protection
2020 Government Websites and Government New Media Inspection Report,2020-11-26,national,China,True,general,[],[],[],[],[],,False,data_protection/2_admin_regulations/2020年政府网站和政务新媒体检查情况通报(FBM-CLI.2.348940).txt,data_protection
The 14th Five-Year Plan for Digital Economy Development,2021-12-12,national,China,True,general,[],[],"['Agriculture, Forestry, Animal Husbandry & Fishery', 'Manufacturing', 'Information Transmission, Software & IT Services', 'Financial Intermediation', 'Wholesale & Retail Trade', 'Transportation, Storage & Postal Services', 'Accommodation & Catering', 'Real Estate', 'Leasing & Business Services', 'Scientific Research & Technical Services', 'Water Conservancy, Environment & Public Facilities Management', 'Resident Services, Repair & Other Services', 'Education', 'Health & Social Work', 'Culture, Sports & Entertainment', 'Public Administration, Social Security & Social Organizations']",[],[],Promotes digital economy growth without specific privacy measures,False,data_protection/2_admin_regulations/国务院关于印发“十四五”数字经济发展规划的...(FBM-CLI.2.5113448).txt,data_protection
Notice on Further Encouraging Foreign-invested R&D Centers,2023-01-11,national,China,False,general,[],['Cross-Border Transfer'],"['Scientific Research & Technical Services', 'Information Transmission, Software & IT Services', 'Financial Intermediation', 'Education']",['Cross-Border Transfer'],[],Supports data security and cross-border data flow for R&D centers,True,data_protection/2_admin_regulations/国务院办公厅转发商务部科技部关于进一步鼓励...(FBM-CLI.2.5150408).txt,data_protection
Several Opinions of the General Office of the CPC Central Committee and the General Office of the State Council on Strengthening the Development and Utilization of Information Resources,2004-12-13,national,China,True,general,[],[],[],[],[],,False,data_protection/2_admin_regulations/中共中央办公厅、国务院办公厅关于加强信息资...(FBM-CLI.16.116252).txt,data_protection
Outline of Social Credit System Construction (2014-2020),2014-06-14,national,China,True,general,[],[],"['Public Administration, Social Security & Social Organizations', 'Financial Intermediation', 'Information Transmission, Software & IT Services', 'Health & Social Work', 'Education', 'Agriculture, Forestry, Animal Husbandry & Fishery', 'Transportation, Storage & Postal Services', 'Wholesale & Retail Trade', 'Manufacturing', 'Construction', 'Culture, Sports & Entertainment', 'Scientific Research & Technical Services', 'Resident Services, Repair & Other Services']",[],[],"Promotes social credit system, data sharing, and integrity culture",False,data_protection/2_admin_regulations/国务院关于印发社会信用体系建设规划纲要(2014—...(FBM-CLI.2.228619).txt,data_protection
Opinions of the State Council on Implementing the Key Work Division of the Government Work Report,2022-03-21,national,China,True,general,[],[],[],[],[],,False,data_protection/2_admin_regulations/国务院关于落实《政府工作报告》重点工作分工...(FBM-CLI.2.5115313).txt,data_protection
National Informatization Development Strategy Outline,2016-07-01,national,China,True,general,[],[],"['Information Transmission, Software & IT Services', 'Public Administration, Social Security & Social Organizations', 'Education', 'Health & Social Work']",[],[],Strategic guidance for national informatization and digital development,False,data_protection/2_admin_regulations/国家信息化发展战略纲要(FBM-CLI.16.276460).txt,data_protection
Opinions of the General Office of the State Council on Promoting Online and Offline Interaction to Accelerate Innovation and Transformation in Commerce and Trade Circulation,2015-09-18,national,China,True,general,[],[],"['Wholesale & Retail Trade', 'Transportation, Storage & Postal Services', 'Accommodation & Catering', 'Information Transmission, Software & IT Services', 'Agriculture, Forestry, Animal Husbandry & Fishery', 'Financial Intermediation', 'Resident Services, Repair & Other Services', 'Culture, Sports & Entertainment', 'Public Administration, Social Security & Social Organizations']",[],[],Promotes commerce innovation; no direct privacy measures,False,data_protection/2_admin_regulations/国务院办公厅关于推进线上线下互动加快商贸流...(FBM-CLI.2.257709).txt,data_protection
13th Five-Year National Science and Technology Innovation Plan,2016-07-28,national,China,True,general,[],[],[],[],[],,False,data_protection/2_admin_regulations/国务院关于印发“十三五”国家科技创新规划的...(FBM-CLI.2.277508).txt,data_protection
Reply of the State Council on the Work Plan to Support Beijing in Deepening the Construction of the National Service Industry Expansion and Opening-up Comprehensive Demonstration Zone,2023-11-18,national,China,True,general,[],[],"['Information Transmission, Software & IT Services', 'Health & Social Work', 'Financial Intermediation', 'Culture, Sports & Entertainment', 'Education', 'Public Administration, Social Security & Social Organizations']",[],[],,False,data_protection/2_admin_regulations/国务院关于《支持北京深化国家服务业扩大开放...(FBM-CLI.2.5183153).txt,data_protection
National Standardization System Construction Development Plan (2016-2020),2015-12-17,national,China,True,general,[],[],[],[],[],,False,data_protection/2_admin_regulations/国务院办公厅关于印发国家标准化体系建设发展...(FBM-CLI.2.261935).txt,data_protection
"Guiding Opinions of the State Council on Deepening the Development of Industrial Internet under ""Internet Plus Advanced Manufacturing""",2017-11-19,national,China,True,general,[],[],"['Manufacturing', 'Information Transmission, Software & IT Services', 'Financial Intermediation']",[],[],,False,data_protection/2_admin_regulations/国务院关于深化“互联网 先进制造业”发展工...(FBM-CLI.2.305507).txt,data_protection
Implementation Plan for Improving and Promoting the Consumption System and Mechanism (2018-2020),2018-09-24,national,China,True,general,[],[],"['Information Transmission, Software & IT Services', 'Financial Intermediation', 'Health & Social Work', 'Education', 'Wholesale & Retail Trade', 'Transportation, Storage & Postal Services', 'Culture, Sports & Entertainment', 'Public Administration, Social Security & Social Organizations', 'Resident Services, Repair & Other Services']",[],[],,False,data_protection/2_admin_regulations/国务院办公厅关于印发完善促进消费体制机制实...(FBM-CLI.2.322560).txt,data_protection
Medium and Long-term Youth Development Plan (2016-2025),2017-04-01,national,China,True,general,[],[],[],[],[],,False,data_protection/2_admin_regulations/中长期青年发展规划(2016－2025年)(FBM-CLI.16.292980).txt,data_protection
National Standardization Development Outline,2021-10-10,national,China,True,general,[],[],[],[],[],,False,data_protection/2_admin_regulations/中共中央、国务院印发《国家标准化发展纲要》(FBM-CLI.16.5077460).txt,data_protection
